,AHL,IPTG,FITC-A
0,0.0,0.0,1261.982254294695
1,0.0,0.0002,1158.7325080842863
2,0.0,0.001,1122.9667096497187
3,1e-12,0.0,1956.6190175957365
4,1e-12,0.0002,1594.6559772566445
5,1e-12,0.001,1712.5472831411512
6,1e-10,0.0,486.4907597761274
7,1e-10,0.0002,1490.382747051172
8,1e-10,0.001,4786.269698536801
9,1e-08,0.0,4357.73234119617
10,1e-08,0.0002,5339.5240279455575
11,1e-08,0.001,5052.272941075473
12,1e-06,0.0,5292.029691602043
13,1e-06,0.0002,5051.074654902449
14,1e-06,0.001,5282.370111072892
15,0.0001,0.0,4764.770198878984
16,0.0001,0.0002,3936.2654271818915
17,0.0001,0.001,4460.61567291841
