CF_File,AHL,IPTG
D:\20210121 LuxR ec\data\Experiment_Tube_001_001.fcs,0,0
D:\20210121 LuxR ec\data\Experiment_Tube_002_002.fcs,1.00E-12,0
D:\20210121 LuxR ec\data\Experiment_Tube_003_003.fcs,1.00E-10,0
D:\20210121 LuxR ec\data\Experiment_Tube_004_004.fcs,1.00E-08,0
D:\20210121 LuxR ec\data\Experiment_Tube_005_005.fcs,1.00E-06,0
D:\20210121 LuxR ec\data\Experiment_Tube_006_006.fcs,1.00E-04,0
D:\20210121 LuxR ec\data\Experiment_Tube_008_008.fcs,0,2.00E-04
D:\20210121 LuxR ec\data\Experiment_Tube_009_009.fcs,1.00E-12,2.00E-04
D:\20210121 LuxR ec\data\Experiment_Tube_010_010.fcs,1.00E-10,2.00E-04
D:\20210121 LuxR ec\data\Experiment_Tube_011_011.fcs,1.00E-08,2.00E-04
D:\20210121 LuxR ec\data\Experiment_Tube_012_012.fcs,1.00E-06,2.00E-04
D:\20210121 LuxR ec\data\Experiment_Tube_013_013.fcs,1.00E-04,2.00E-04
D:\20210121 LuxR ec\data\Experiment_Tube_015_015.fcs,0,1.00E-03
D:\20210121 LuxR ec\data\Experiment_Tube_016_016.fcs,1.00E-12,1.00E-03
D:\20210121 LuxR ec\data\Experiment_Tube_017_017.fcs,1.00E-10,1.00E-03
D:\20210121 LuxR ec\data\Experiment_Tube_018_018.fcs,1.00E-08,1.00E-03
D:\20210121 LuxR ec\data\Experiment_Tube_019_019.fcs,1.00E-06,1.00E-03
D:\20210121 LuxR ec\data\Experiment_Tube_020_020.fcs,1.00E-04,1.00E-03
